"","continent","location","total_cases_per_million","gdp_per_capita","human_development_index","partly_vacc"
"1","Asia","Afghanistan",4135.188,1803.987,0.511,9.82
"2","","Africa",7955.9,NA,NA,10.91
"3","Europe","Albania",90931.431,11803.431,0.795,40.26
"4","Africa","Algeria",5734.096,13913.839,0.748,12.99
"5","Europe","Andorra",471468.832,NA,0.868,68.65
"6","Africa","Angola",2897.393,5819.495,0.581,13.94
"7","North America","Anguilla",157619.835,NA,NA,61.82
"8","North America","Antigua and Barbuda",68187.343,21490.943,0.778,61.14
"9","South America","Argentina",186714.863,18933.907,0.845,76.73
"10","Asia","Armenia",127779.53,8787.58,0.776,28.22
"11","North America","Aruba",309715.938,35973.781,NA,74.57
"12","","Asia",21882.182,NA,NA,59.65
"13","Oceania","Australia",103804.734,44648.71,0.944,78.56
"14","Europe","Austria",216631.804,45436.686,0.922,74.69
"15","Asia","Azerbaijan",66164.848,15847.419,0.756,46.43
"16","North America","Bahamas",82335.216,27717.847,0.814,38.17
"17","Asia","Bahrain",228030.739,43290.705,0.852,68.37
"18","Asia","Bangladesh",11038.71,3523.984,0.632,35.91
"19","North America","Barbados",161643.055,16978.068,0.814,51.06
"20","Europe","Belarus",79795.151,17167.967,0.823,44.84
"21","Europe","Belgium",280911.466,42658.576,0.931,76.38
"22","North America","Belize",131380.66,7824.362,0.716,50.19
"23","Africa","Benin",2128.177,2064.236,0.545,13.06
"24","North America","Bermuda",175884.172,50669.315,NA,73.86
"25","Asia","Bhutan",7093.217,8708.597,0.654,73.18
"26","South America","Bolivia",73276.066,6885.829,0.718,44.7
"27","North America","Bonaire Sint Eustatius and Saba",269351.484,NA,NA,NA
"28","Europe","Bosnia and Herzegovina",108209.418,11713.895,0.78,25.93
"29","Africa","Botswana",106806.578,15807.374,0.735,45.01
"30","South America","Brazil",122003.244,14103.452,0.765,70.33
"31","North America","British Virgin Islands",194852.579,NA,NA,56.59
"32","Asia","Brunei",37802.47,71809.251,0.838,91.36
"33","Europe","Bulgaria",142156.161,18563.307,0.816,NA
"34","Africa","Burkina Faso",961.246,1703.102,0.452,3.59
"35","Africa","Burundi",3064.927,702.225,0.433,0.05
"36","Asia","Cambodia",7168.701,3645.07,0.594,81.23
"37","Africa","Cameroon",4287.279,3364.926,0.563,2.44
"38","North America","Canada",81318.905,44017.591,0.929,79.5
"39","Africa","Cape Verde",99223.885,6222.554,0.665,47.7
"40","North America","Cayman Islands",239616.229,49903.029,NA,86.43
"41","Africa","Central African Republic",2850.211,661.24,0.397,11.17
"42","Africa","Chad",423.116,1768.153,0.398,0.8
"43","South America","Chile",117528.756,22767.037,0.851,88.37
"44","Asia","China",73.583,15308.712,0.761,84.99
"45","South America","Colombia",115679.23,13254.949,0.767,61.77
"46","Africa","Comoros",8858.064,1413.89,0.554,28.92
"47","Africa","Congo",4190.371,4881.406,0.574,NA
"48","Oceania","Cook Islands",113.817,NA,NA,71.88
"49","North America","Costa Rica",139276.439,15524.995,0.81,71.54
"50","Africa","Cote d'Ivoire",2986.032,3601.006,0.538,8.81
"51","Europe","Croatia",236024.242,22669.797,0.851,54.11
"52","North America","Cuba",92724.205,NA,0.783,86.87
"53","North America","Curacao",227711.838,NA,NA,59.28
"54","Europe","Cyprus",296811.96,32415.132,0.887,70.98
"55","Europe","Czechia",293150.866,32605.906,0.9,63.39
"56","Africa","Democratic Republic of Congo",925.653,808.133,0.48,0.23
"57","Europe","Denmark",324628.069,46682.515,0.94,81.4
"58","Africa","Djibouti",15458.039,2705.406,0.524,9.03
"59","North America","Dominica",131657.707,9673.367,0.742,40.33
"60","North America","Dominican Republic",51027.076,14600.861,0.756,53.01
"61","South America","Ecuador",40922.328,10581.936,0.759,74.45
"62","Africa","Egypt",4150.853,10550.206,0.707,26.06
"63","North America","El Salvador",20727.008,7292.458,0.673,64.54
"64","Africa","Equatorial Guinea",10916.683,22604.873,0.592,14.08
"65","Africa","Eritrea",2665.862,1510.459,0.459,NA
"66","Europe","Estonia",270216,29481.252,0.892,62.71
"67","Africa","Eswatini",58432.968,7738.975,0.611,28.56
"68","Africa","Ethiopia",3954.368,1729.927,0.485,1.36
"69","","Europe",177895.03,NA,NA,63.48
"70","","European Union",204593.418,NA,NA,71.35
"71","Europe","Faeroe Islands",437424.826,NA,NA,83.3
"72","South America","Falkland Islands",25226.757,NA,NA,NA
"73","Oceania","Fiji",69938.055,8702.975,0.743,68.02
"74","Europe","Finland",91547.756,40585.721,0.938,74.59
"75","Europe","France",299594.954,38605.671,0.901,76.53
"76","Oceania","French Polynesia",175274.48,NA,NA,58.77
"77","Africa","Gabon",20689.573,16562.413,0.703,10.28
"78","Africa","Gambia",4770.125,1561.767,0.496,12.25
"79","Asia","Georgia",314115.403,9745.079,0.812,30.79
"80","Europe","Germany",127813.871,45229.245,0.947,73.61
"81","Africa","Ghana",4954.6,4227.63,0.611,9.89
"82","Europe","Gibraltar",397554.243,NA,NA,120.93
"83","Europe","Greece",193062.853,24574.382,0.888,70.66
"84","North America","Greenland",192111.557,NA,NA,67.46
"85","North America","Grenada",112356.767,13593.877,0.779,32.54
"86","North America","Guatemala",38483.018,7423.808,0.663,29.18
"87","Africa","Guinea",2682.475,1998.926,0.477,13.89
"88","Africa","Guinea-Bissau",3833.311,1548.675,0.48,1.34
"89","South America","Guyana",76773.091,7435.047,0.682,39.59
"90","North America","Haiti",2540.617,1653.173,0.51,0.69
"91","","High income",168760.806,NA,NA,72.16
"92","North America","Honduras",38942.088,4541.795,0.634,43.55
"93","Asia","Hong Kong",1855.338,56054.92,0.949,63.72
"94","Europe","Hungary",166118.34,26777.561,0.854,63.44
"95","Europe","Iceland",195600.772,46482.958,0.949,77.62
"96","Asia","India",30107.966,6426.674,0.645,51.75
"97","Asia","Indonesia",15752.431,11188.744,0.718,NA
"98","","International",NA,NA,NA,NA
"99","Asia","Iran",76254.187,19082.62,0.783,63.94
"100","Asia","Iraq",54243.813,15663.986,0.674,15.46
"101","Europe","Ireland",240666.286,67335.293,0.955,78.1
"102","Europe","Isle of Man",255356.516,NA,NA,77.56
"103","Asia","Israel",333205.468,33132.32,0.919,65.67
"104","Europe","Italy",187993.646,35220.084,0.892,76.7
"105","North America","Jamaica",42122.617,8193.571,0.734,21.03
"106","Asia","Japan",23952.003,39002.223,0.919,79.21
"107","Asia","Jordan",124657.051,8337.49,0.729,41.37
"108","Asia","Kazakhstan",70923.189,24055.588,0.825,46.25
"109","Africa","Kenya",5851.776,2993.028,0.601,10.72
"110","Oceania","Kiribati",7521.337,1981.132,0.63,33.39
"111","Europe","Kosovo",119336.294,9795.834,NA,45.24
"112","Asia","Kuwait",130467.387,65530.537,0.806,75.28
"113","Asia","Kyrgyzstan",30047.31,3393.474,0.697,16.56
"114","Asia","Laos",18335.064,6397.36,0.613,51.97
"115","Europe","Latvia",226163.86,25063.846,0.866,69.07
"116","Asia","Lebanon",140154.652,13367.565,0.744,30.15
"117","Africa","Lesotho",14940.713,2851.153,0.527,NA
"118","Africa","Liberia",1403.805,752.788,0.48,19.05
"119","Africa","Libya",63513.198,17881.509,0.724,14.49
"120","Europe","Liechtenstein",244549.59,NA,0.919,68.15
"121","Europe","Lithuania",265518.454,29524.265,0.882,69.28
"122","","Low income",2668.907,NA,NA,5.59
"123","","Lower middle income",22951.65,NA,NA,39.31
"124","Europe","Luxembourg",258311.883,94277.965,0.916,NA
"125","Asia","Macao",119.989,104861.851,NA,72.46
"126","Africa","Madagascar",2086.689,1416.44,0.528,2.7
"127","Africa","Malawi",4310.585,1095.042,0.483,4.06
"128","Asia","Malaysia",88106.017,26808.164,0.81,78.46
"129","Asia","Maldives",266796.659,15183.616,0.74,68.06
"130","Africa","Mali",1445.55,2014.306,0.434,3.02
"131","Europe","Malta",132596.396,36513.323,0.895,87.74
"132","Oceania","Marshall Islands",117.414,3819.202,0.704,NA
"133","Africa","Mauritania",12226.106,3597.633,0.546,20.44
"134","Africa","Mauritius",55646.648,20292.745,0.804,NA
"135","North America","Mexico",38598.068,17336.469,0.779,59.34
"136","Oceania","Micronesia (country)",8.602,3299.464,0.62,NA
"137","Europe","Moldova",113094.476,5189.972,0.75,NA
"138","Europe","Monaco",207059.717,NA,NA,NA
"139","Asia","Mongolia",134402.553,11840.846,0.737,65.2
"140","Europe","Montenegro",353318.441,16409.288,0.829,44.29
"141","North America","Montserrat",32724.353,NA,NA,31.98
"142","Africa","Morocco",30572.085,7485.013,0.686,62.08
"143","Africa","Mozambique",6968.961,1136.103,0.456,28.05
"144","Asia","Myanmar",9796.443,5591.597,0.583,34.39
"145","Africa","Namibia",60332.913,9541.808,0.646,13.79
"146","Asia","Nepal",32435.37,2442.804,0.602,48.55
"147","Europe","Netherlands",273537.896,48472.545,0.944,71.76
"148","Oceania","New Caledonia",84974.169,NA,NA,61.44
"149","Oceania","New Zealand",3370.267,36085.843,0.931,76.7
"150","North America","Nicaragua",2642.196,5321.444,0.66,53.74
"151","Africa","Niger",344.438,926,0.394,4.08
"152","Africa","Nigeria",1198.695,5338.454,0.539,2.58
"153","","North America",149130.756,NA,NA,60.51
"154","Europe","North Macedonia",131631.6,13111.214,0.774,39.77
"155","Europe","Norway",155405.535,64800.057,0.957,73.14
"156","","Oceania",66512.334,NA,NA,59.67
"157","Asia","Oman",66248.534,37960.709,0.813,56.81
"158","Asia","Pakistan",6432.786,5034.708,0.557,37.28
"159","Oceania","Palau",116375.041,13240.405,0.826,NA
"160","Asia","Palestine",106562.512,4449.898,0.708,29.3
"161","North America","Panama",163678.515,22267.037,0.815,57.19
"162","Oceania","Papua New Guinea",4100.228,3823.194,0.555,2.53
"163","South America","Paraguay",82853.15,8827.01,0.728,42.78
"164","South America","Peru",99183.184,12236.706,0.777,68.29
"165","Asia","Philippines",32287.805,7599.188,0.718,NA
"166","Europe","Poland",133232.69,27216.445,0.88,57.73
"167","Europe","Portugal",274965.694,27936.896,0.864,90.57
"168","Asia","Qatar",116979.421,116935.6,0.848,NA
"169","Europe","Romania",121551.846,23313.199,0.828,NA
"170","Europe","Russia",82862.994,24765.954,0.824,48.03
"171","Africa","Rwanda",9719.341,1854.211,0.543,52.34
"172","Africa","Saint Helena",656.276,NA,NA,NA
"173","North America","Saint Kitts and Nevis",102099.13,24654.385,0.779,48.65
"174","North America","Saint Lucia",116046.008,12951.839,0.759,27.7
"175","North America","Saint Pierre and Miquelon",165136.025,NA,NA,NA
"176","North America","Saint Vincent and the Grenadines",71349.612,10727.146,0.738,24.62
"177","Oceania","Samoa",164.881,6021.557,0.715,62.25
"178","Europe","San Marino",391884.74,56861.47,NA,64.03
"179","Africa","Sao Tome and Principe",26445.622,3052.714,0.625,27.49
"180","Asia","Saudi Arabia",19780.859,49045.411,0.854,67.24
"181","Africa","Senegal",4949.725,2470.58,0.512,5.84
"182","Europe","Serbia",251833.539,14048.881,0.806,47.25
"183","Africa","Seychelles",381872.409,26382.287,0.796,79.46
"184","Africa","Sierra Leone",936.578,1390.3,0.452,8.51
"185","Asia","Singapore",67198.364,85535.383,0.938,87.77
"186","Europe","Slovakia",300949.118,30155.152,0.86,48.83
"187","Europe","Slovenia",366975.302,31400.84,0.917,58.33
"188","Oceania","Solomon Islands",3348.035,2205.923,0.567,10.77
"189","Africa","Somalia",1593.386,NA,NA,5.3
"190","Africa","South Africa",60225.763,12294.876,0.709,27.8
"191","","South America",114320.185,NA,NA,68.05
"192","Asia","South Korea",18217.574,35938.374,0.916,85.87
"193","Africa","South Sudan",1477.853,1569.888,0.433,2.18
"194","Europe","Spain",218198.095,34272.36,0.904,81.96
"195","Asia","Sri Lanka",28592.373,11669.077,0.782,64.93
"196","Africa","Sudan",1310.952,4466.507,0.51,3.2
"197","South America","Suriname",126492.486,13767.119,0.738,39.41
"198","Europe","Sweden",222403.606,46949.283,0.945,73.97
"199","Europe","Switzerland",267479.158,57410.166,0.955,68
"200","Asia","Syria",2826.485,NA,0.567,5.1
"201","Asia","Taiwan",794.718,NA,NA,73.12
"202","Asia","Tajikistan",1818.429,2896.913,0.668,38.56
"203","Africa","Tanzania",540.339,2683.304,0.529,2.79
"204","Asia","Thailand",35391.024,16277.671,0.777,69.12
"205","Asia","Timor",15014.045,6570.102,0.606,42.01
"206","Africa","Togo",4311.035,1429.813,0.515,12.68
"207","Oceania","Tonga",56.201,5425.621,0.725,60.59
"208","North America","Trinidad and Tobago",80746.116,28763.071,0.796,49.39
"209","Africa","Tunisia",77924.631,10849.297,0.74,52.47
"210","Asia","Turkey",140408.171,25129.341,0.82,61.69
"211","North America","Turks and Caicos Islands",147096.314,NA,NA,NA
"212","Africa","Uganda",3438.813,1697.707,0.544,4.28
"213","Europe","Ukraine",100392.755,7894.393,0.779,33.97
"214","Asia","United Arab Emirates",85229.699,67293.483,0.89,93.45
"215","Europe","United Kingdom",258789.486,39753.244,0.932,71.1
"216","North America","United States",228172.321,54225.446,0.926,63.72
"217","","Upper middle income",41677.532,NA,NA,74.6
"218","South America","Uruguay",200998.694,20551.409,0.817,77.3
"219","Asia","Uzbekistan",6660.701,6253.104,0.72,NA
"220","Oceania","Vanuatu",22.26,2921.909,0.609,22.03
"221","Europe","Vatican",35714.286,NA,NA,NA
"222","South America","Venezuela",17105.623,16745.022,0.711,47.62
"223","Asia","Vietnam",23470.739,6171.884,0.704,73.29
"224","Oceania","Wallis and Futuna",40923.021,NA,NA,55.31
"225","","World",49273.644,15469.207,0.737,52.04
"226","Asia","Yemen",365.522,1479.147,0.47,1.13
"227","Africa","Zambia",16191.14,3689.251,0.584,NA
"228","Africa","Zimbabwe",15250.954,1899.775,0.571,21.96
